isbn,title,author,number_of_pages,publication_date,language_code,avg_rating
743267745,I'm Too Young To Be Seventy,Judith Viorst/Laura Gibson,64,10/12/2005,en-US,3.93
553587153,Seventy-Seven Clocks (Bryant & May #3),Christopher Fowler,496,11/29/2005,eng,3.89
142003344,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,528,8/26/2003,eng,4.08
60958332,The Language Instinct: How the Mind Creates Language,Steven Pinker,448,11/7/2000,eng,4.03
262660733,Learnability and Cognition: The Acquisition of Argument Structure,Steven Pinker/Jacques A. Mehler,432,8/28/1991,eng,3.75
393327345,Fight Club,Chuck Palahniuk,218,10/17/2005,eng,4.19
596006799,BSD Hacks,Lavigne,450,5/31/2004,en-US,3.8
201061961,The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,471,6/1/1989,eng,4.26
61094226,Choke,Stuart Woods,352,9/12/1996,eng,3.84
312315325,Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,272,10/5/2004,eng,3.22
142437883,The Aleph and Other Stories,Jorge Luis Borges/Andrew Hurley,210,7/27/2004,eng,4.38
9500425998,El Aleph,Jorge Luis Borges,253,9/1/2007,spa,4.38
141439831,Vanity Fair,William Makepeace Thackeray/John Carey,867,1/30/2003,eng,3.79
1593080719,Vanity Fair,William Makepeace Thackeray/Nicholas Dames,696,11/1/2003,eng,3.79
140620850,Vanity Fair,William Makepeace Thackeray,672,10/3/1998,eng,3.79
1401207928,V for Vendetta,Alan Moore/David   Lloyd,296,11/1/2005,eng,4.25
2020418770,V.,Thomas Pynchon/Carlos Martín Ramírez,640,1/2/2001,fre,3.96
1416500529,Girl in the Shadows (Shadows  #2),V.C. Andrews,400,3/7/2006,en-US,3.81
1416516999,V for Vendetta,Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore,358,3/1/2006,eng,4.15
671010050,Heaven (Casteel  #1),V.C. Andrews,464,4/1/1997,eng,4.03
99532514,Slow Learner: Early Stories,Thomas Pynchon,208,2/16/1995,eng,3.5
820328073,A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,424,11/1/2006,eng,4.01
141187581,Casino Royale,Ian Fleming,181,6/3/2004,eng,3.73
1840238437,Casino Royale,Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky,96,6/1/2005,eng,3.7
60838728,Bel Canto,Ann Patchett,352,8/2/2005,eng,3.93
826414532,Guerilla Film Makers Movie Blueprint,Chris          Jones/Jonathan Newman/Cara Williams,608,6/20/2003,eng,4.2
1894925025,Mini-Manual of the Urban Guerrilla,Carlos Marighella,66,9/9/2002,en-US,3.31
1590596242,The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),Christopher   Duncan,264,2/1/2006,en-US,3.13
330487140,A Bend in the River,V.S. Naipaul,326,5/10/2002,eng,3.77
375708340,The Middle Passage,V.S. Naipaul,256,1/8/2002,en-US,3.61
375707271,Magic Seeds,V.S. Naipaul,280,11/8/2005,eng,3.13
037570728X,Half a Life,V.S. Naipaul,224,4/23/2009,eng,3.25
140188266,North of South: An African Journey,Shiva Naipaul,352,9/26/1996,eng,3.89
1403904561,V.S. Naipaul,Bruce Alvin King,240,10/10/2003,eng,2
806132299,Regeneration Through Violence: The Mythology of the American Frontier  1600–1860,Richard Slotkin,670,4/15/2000,eng,4.3
756403456,Regeneration (Species Imperative  #3),Julie E. Czerneda,543,5/2/2006,en-US,4.13
670869295,The Regeneration Trilogy (Regeneration  #1-3),Pat Barker,592,1/1/1996,eng,4.38
552997773,The Sparrow (The Sparrow  #1),Mary Doria Russell,506,11/1/1997,eng,4.16
1423101685,The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),Rob Kidd/Walt Disney Company,144,12/1/2006,eng,4.05
1423100611,The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,122,10/1/2006,en-US,3.98
1423100204,The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3),Rob Kidd/Walt Disney Company,119,8/1/2006,eng,3.89
1423100190,The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2),Rob Kidd/Jean-Paul Orpinas,123,6/1/2006,eng,3.86
1423100182,The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),Rob Kidd/Jean-Paul Orpinas,135,6/1/2006,en-US,3.83
141439610,The Woman in White,Wilkie Collins/Matthew Sweet,672,2/27/2003,eng,4
486440966,The Woman in White,Wilkie Collins,504,4/15/2005,eng,4
1551116448,The Woman in White,Wilkie Collins/Maria K. Bachman/Don Richard Cox,696,4/20/2006,eng,4
1593082800,The Woman in White,Wilkie Collins/Camille Cauti,635,4/25/2005,eng,4
7136587,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,1200,9/16/2002,eng,4.5
393060411,The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,National Commission on Terrorist Attacks Upon The United States,624,10/17/2004,eng,3.6
618260307,The Hobbit  or There and Back Again,J.R.R. Tolkien,366,8/15/2002,eng,4.27
7137273,The Annotated Hobbit,J.R.R. Tolkien/Douglas A. Anderson,411,4/7/2003,eng,4.27
618009345,Poems From The Hobbit,J.R.R. Tolkien,57,12/13/1999,eng,4.3
1594130051,The Hobbit: Or There and Back Again,J.R.R. Tolkien,481,9/1/2003,eng,4.27
261103288,The Hobbit,J.R.R. Tolkien,277,9/17/2007,eng,4.27
486402185,Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,64,6/19/2013,eng,3.86
872864286,The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,200,4/1/2004,eng,4.46
143039962,Twenty Love Poems and a Song of Despair,Pablo Neruda/W.S. Merwin/Cristina García,70,12/26/2006,eng,4.3
1400001447,Veinte poemas de amor y una canción desesperada; Cien sonetos de amor,Pablo Neruda,160,1/22/2002,eng,4.3
786881488,Love,Pablo Neruda,43,6/16/1995,eng,4.46
375724370,Anil's Ghost,Michael Ondaatje,311,4/24/2001,eng,3.57
312287445,Waiting for My Cats to Die: A Memoir,Stacy Horn,320,1/17/2002,eng,3.67
720608724,Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,288,6/1/1993,eng,4.2
1888297018,Edward Lear's Book of Nonsense: With Lear's Original Illustrations,Edward Lear/Simcha Shtull,46,11/1/1995,eng,3.65
312940688,A Sparrow Falls (Courtney #3),Wilbur Smith,640,1/2/2007,eng,4.19
1400033853,Providence of a Sparrow: Lessons from a Life Gone to the Birds,Chris Chester,304,4/13/2004,eng,4.33
786811056,Sparrow Hawk Red,Ben Mikaelsen,185,4/1/1995,eng,3.79
684850273,The Fall of a Sparrow,Robert Hellenga,464,7/6/1999,eng,3.69
764202537,The Bluebird and the Sparrow (Women of the West  #10),Janette Oke,251,8/1/2006,en-US,3.83
142302090,Journey of the Sparrows,Fran Leeper Buss/Daisy Cubias,160,12/30/2002,eng,3.69
1416903275,Aleutian Sparrow,Karen Hesse/Evon Zerbetz/Kim McGillivray,160,6/1/2005,eng,3.78
1590171241,An Episode of Sparrows,Rumer Godden,247,10/31/2004,en-GB,4.21
140442723,Li Po and Tu Fu: Poems,Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung,256,4/26/1973,eng,4.14
9573321742,混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,735,10/1/2005,zho,4.57
9573318318,火盃的考驗 (哈利波特  #4),J.K. Rowling/J.K.羅琳/彭倩文,768,12/8/2001,zho,4.56
093244055X,Five T'ang Poets,Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,184,10/8/1990,eng,4.3
60970618,The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,Charles Rembar,528,12/1/1986,eng,3.88
394832205,Juniper,Monica Furlong,198,2/24/2004,eng,4.16
1880823195,The Long Road Back: A Survivor's Guide to Anorexia,Judy Tam Sargent/Sonia Nordenson,194,10/1/1998,en-GB,3.2
1931541744,The Road Back,Erich Maria Remarque,352,12/1/2001,eng,4.32
1593080115,Robinson Crusoe,Daniel Defoe/L.J. Swingle,312,4/1/2003,eng,3.67
684813211,Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay,272,10/1/1995,en-US,4.25
226142817,The Work of Mourning,Jacques Derrida/Pascale-Anne Brault/Michael Naas,272,9/15/2003,eng,4.2
749919442,Transform Your Life: A step-by-step programme for change,Diana Cooper,176,10/29/1998,eng,4
679772693,A Short History of Byzantium,John Julius Norwich,496,12/29/1998,eng,4.09
701176083,The Middle Sea: A History of the Mediterranean,John Julius Norwich,588,10/31/2006,eng,3.85
679721975,A History of Venice,John Julius Norwich,673,6/18/1989,eng,4.2
140152121,The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194,John Julius Norwich,816,9/1/2004,eng,4.34
679643362,Siddhartha,Hermann Hesse/Susan Bernofsky/Tom Robbins,129,7/18/2006,eng,4.02
142437182,Siddhartha,Hermann Hesse/Joachim Neugroschel/Ralph Freedman,132,12/31/2002,eng,4.02
2253008486,Siddhartha,Hermann Hesse,160,10/31/1975,fre,4.02
375757856,The Moonstone,Wilkie Collins/Carolyn G. Heilbrun,528,9/11/2001,eng,3.91
140620133,The Moonstone,Wilkie Collins,464,10/24/1998,en-GB,3.91
192100289,The Moonstone,Wilkie Collins/P.D. James,576,6/10/1999,eng,3.91
195119207,Ride of the Second Horseman: The Birth and Death of War,Robert L. O'Connell,320,10/19/1997,eng,4.29
1400033411,Beloved,Toni Morrison,324,6/8/2004,eng,3.83
074326195X,Cry  the Beloved Country,Alan Paton,316,11/25/2003,eng,3.9
824519868,Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,160,10/1/2002,eng,4.28
1593109156,Come Away My Beloved,Frances J. Roberts,192,10/1/2005,eng,4.58
736903704,Israel  My Beloved,Kay Arthur,448,3/15/2001,eng,4.16
1929241631,Beloved Bride: The Letters of Stonewall Jackson to His Wife,Bill Potter/Stephen Lang,156,4/10/2003,eng,4.1
874778719,The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),Jean Houston,272,6/30/1997,en-US,3.95
802141900,Reservation Blues,Sherman Alexie,306,2/7/2005,eng,3.98
375407936,The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain,Cormac McCarthy,1040,9/28/1999,eng,4.44
743418263,Music & Silence,Rose Tremain,485,5/1/2001,eng,3.95
140296611,The Periodic Table,Primo Levi,194,1/1/2009,en-GB,4.21
684826801,Survival in Auschwitz,Primo Levi/Stuart J. Woolf/Philip Roth,187,9/1/1995,eng,4.32
684826356,The Reawakening,Primo Levi/Stuart J. Woolf,230,12/1/1995,eng,4.29
349100470,The Drowned and the Saved,Primo Levi,170,2/1/1989,eng,4.4
140188924,The Monkey's Wrench,Primo Levi/William Weaver/Ruth Feldman/Ruth Tenzer Feldman,192,7/1/1995,eng,3.92
312423675,Primo Levi: A Life,Ian Thomson,640,12/1/2004,eng,4.11
140620125,Wuthering Heights,Emily Brontë,279,1/13/2007,eng,3.85
143036378,Disgrace,J.M. Coetzee,220,8/30/2005,eng,3.84
140283358,Waiting for the Barbarians,J.M. Coetzee,152,10/1/1999,eng,3.94
069107089X,The Lives of Animals,J.M. Coetzee/Amy Gutmann/Peter Singer/Wendy Doniger/Barbara Smuts/Marjorie Garber,136,5/6/2001,eng,3.69
014026566X,Boyhood: Scenes from Provincial Life,J.M. Coetzee,166,9/1/1998,eng,3.79
142002003,Youth,J.M. Coetzee,176,10/7/2003,eng,3.79
140275657,Age of Iron,J.M. Coetzee,198,9/1/1998,eng,3.84
141181281,The Wife (Kristin Lavransdatter  #2),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,402,11/1/1999,eng,4.15
143039164,Kristin Lavransdatter (Kristin Lavransdatter  #1-3),Sigrid Undset/Tiina Nunnally/Brad Leithauser,1144,9/27/2005,eng,4.28
679752730,The Axe (The Master of Hestviken  #1),Sigrid Undset/Arthur G. Chater,304,11/29/1994,eng,4.21
141182350,The Cross (Kristin Lavransdatter  #3),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,366,4/1/2000,eng,4.29
141180412,The Wreath (Kristin Lavransdatter  #1),Sigrid Undset/Tiina Nunnally,305,12/1/1997,eng,4.02
394752937,The Mistress of Husaby (Kristin Lavransdatter  #2),Sigrid Undset,384,5/12/1987,en-US,4.15
158642050X,Jenny,Sigrid Undset/Tiina Nunnally,330,6/1/1998,eng,3.79
1586420216,The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford,406,12/31/2001,eng,4.19
014118020X,Gunnar's Daughter,Sigrid Undset/Sherrill Harbison/Arthur G. Chater,161,4/1/1998,eng,4.18
679755543,The Snake Pit (The Master of Hestviken  #2),Sigrid Undset/Arthur G. Chater,240,11/29/1994,eng,4.23
679755527,The Son Avenger (The Master of Hestviken  #4),Sigrid Undset,288,6/24/1995,en-US,4.4
99273845,An Imaginary Life,David Malouf,156,2/5/1999,eng,3.88
99273861,The Great World,David Malouf,336,5/20/1999,eng,3.88
99474549,A Very Long Engagement,Sébastien Japrisot,320,1/6/2005,eng,3.91
679776818,Birdsong,Sebastian Faulks,483,6/2/1997,eng,4.09
811201325,The Collected Poems of Wilfred Owen,Wilfred Owen/Cecil Day-Lewis,192,1/17/1965,eng,4.34
449001962,Murder in Foggy Bottom (Capital Crimes  #17),Margaret Truman,368,1/29/2002,en-US,3.71
307265439,The Road,Cormac McCarthy,241,9/26/2006,eng,3.97
415253896,The Road to Serfdom,Friedrich A. Hayek,272,3/9/2006,eng,4.18
786940751,Road of the Patriarch (Forgotten Realms: The Sellswords  #3),R.A. Salvatore,346,12/20/2006,eng,4.19
1566917662,Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways,Jamie Jensen,964,3/31/2006,en-US,3.96
006441034X,Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,329,8/1/2001,eng,4.29
872863107,Howl and Other Poems,Allen Ginsberg/William Carlos Williams,56,1/1/2001,eng,4.13
425183319,When Rabbit Howls,Truddi Chase/Robert A. Phillips,400,2/5/2002,eng,4.04
1421500493,The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,256,7/1/2005,eng,4.51
61137456,Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,Allen Ginsberg/Barry Miles,208,10/10/2006,eng,4.22
1933615095,The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,America's Test Kitchen,312,9/1/2006,eng,4.35
142403881,Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl/Quentin Blake,176,6/2/2005,eng,4.13
140311254,Charlie and the Chocolate Factory: A Play,Richard R. George/Roald Dahl,89,9/27/1979,eng,4.33
142404209,Charlie and the Chocolate Factory (Abridged),Roald Dahl,40,6/2/2005,en-US,3.86
307264904,Collected Stories,Roald Dahl/Jeremy Treglown,850,10/17/2006,eng,4.39
067003665X,Roald Dahl Treasury,Roald Dahl,448,9/15/2003,eng,4.43
142302279,Dirty Beasts,Roald Dahl/Quentin Blake,32,10/14/2002,eng,4.01
1400078776,Never Let Me Go,Kazuo Ishiguro,288,8/31/2010,eng,3.82
676977111,Never Let Me Go,Kazuo Ishiguro,288,1/31/2006,eng,3.82
1415916292,Never Let Me Go,Kazuo Ishiguro/Rosalyn Landor,10,4/12/2005,eng,3.82
967967570,Homeric Moments: Clues to Delight in Reading the Odyssey and the Iliad,Eva Brann,326,9/1/2002,eng,4.3
226071367,Paradoxes of Education in a Republic,Eva Brann,178,8/15/1989,eng,4.28
1589880080,The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,Eva Brann,378,3/1/2004,eng,4.58
1589880196,Open Secrets / Inward Prospects: Reflections on World and Soul,Eva Brann,435,10/1/2004,eng,4.42
941051692,Phaedo,Plato/Eva Brann/Peter Kalkavage/Eric Salem,118,9/1/1998,eng,4.04
1589880293,Rocky Stories: Tales of Love  Hope  and Happiness at America's Most Famous Steps,Michael Vitez/Tom Gralish/Sylvester Stallone,144,11/1/2006,eng,4.16
61134236,My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,336,8/29/2006,eng,3.88
60595361,Since You're Leaving Anyway  Take Out the Trash (Domestic Equalizers #1),Dixie Cash,384,8/31/2004,eng,3.81
385504217,The Da Vinci Code (Robert Langdon  #2),Dan Brown,522,3/18/2003,eng,3.84
451206703,Blessings from the Other Side: Wisdom and Comfort from the Afterlife for This Life,Sylvia Browne/Lindsay Harrison,208,10/1/2002,en-US,3.98
1401903096,Mother God: The Feminine Principle to Our Creator,Sylvia Browne,128,2/1/2004,en-US,4.05
60598808,Thanksgiving,Janet Evanovich,228,10/31/2006,eng,3.6
312306342,Plum Lovin' (Stephanie Plum  #12.5),Janet Evanovich,164,1/9/2007,eng,3.72
312966970,Four to Score (Stephanie Plum  #4),Janet Evanovich,313,6/15/1999,eng,4.17
312980140,Seven Up (Stephanie Plum  #7),Janet Evanovich,337,6/17/2002,en-US,4.16
312983867,Hard Eight (Stephanie Plum  #8),Janet Evanovich/Lorelei King,326,6/16/2003,eng,4.17
60584033,Motor Mouth (Alex Barnaby #2),Janet Evanovich,312,10/3/2006,eng,3.68
316919896,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,353,2/1/1997,eng,4.25
140436588,Ivanhoe,Walter Scott/Graham Tulloch,541,3/30/2000,eng,3.75
1587172488,Ivanhoe,Marianna Mayer/Walter Scott/John Rush,56,10/7/2004,en-US,3.96
425132641,Me and Jezebel: When Bette Davis Came for Dinner -- And Stayed ... And Stayed ... And Stayed ... And ...,Elizabeth L. Fuller,244,5/1/1992,eng,3.73
1596980206,George Washington and Benedict Arnold: A Tale of Two Patriots,Dave R. Palmer,424,8/1/2006,eng,4.27
1400032539,His Excellency: George Washington,Joseph J. Ellis,320,11/8/2005,eng,3.92
155709103X,George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,30,8/1/1989,eng,4.08
978605268,George Washington's Sacred Fire,Peter A. Lillback/Jerry Newcombe,1200,5/31/2011,eng,4.18
192836013,Waverley,Walter Scott/Claire Lamont,463,8/20/1998,eng,3.43
192831879,The Antiquary,Walter Scott/Nicola J. Watson,528,5/23/2002,eng,3.83
375760601,Rob Roy,Walter Scott/Lockhart Bogle,576,7/9/2002,eng,3.7
1573229628,Prozac Nation,Elizabeth Wurtzel,384,4/2/2002,eng,3.59
057120211X,Girl  Interrupted: Screenplay based on the book,James Mangold/Anna Hamilton Phelan/Lisa Loomer/Susanna Kaysen,167,2/21/2000,eng,4.02
312010443,How to Write a Damn Good Novel: A Step-by-Step No Nonsense Guide to Dramatic Storytelling,James N. Frey,192,12/15/1987,eng,3.86
399153934,Book of the Dead (Kay Scarpetta  #15),Patricia Cornwell,511,11/1/2007,eng,3.65
399153624,At Risk (Winston Garano  #1),Patricia Cornwell,212,5/23/2006,eng,3.41
425210278,Predator (Kay Scarpetta  #14),Patricia Cornwell,453,10/1/2006,eng,3.68
425204200,Trace (Kay Scarpetta  #13),Patricia Cornwell,401,6/28/2005,eng,3.78
743477154,Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell/Patricia Cornwell,342,12/30/2003,eng,4.02
765191121,Three Complete Novels: Postmortem / Body Of Evidence / All That Remains (Kay Scarpetta  #1  #2  #3),Patricia Cornwell,822,10/1/1997,en-US,4.29
425204693,From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,383,8/30/2005,eng,4.04
425201449,The Body Farm (Kay Scarpetta  #5),Patricia Cornwell,351,12/28/2004,eng,4.05
143058320,Trace (Kay Scarpetta  #13),Patricia Cornwell/Carolyn McCormick,11,8/4/2005,en-US,3.78
425213382,Cause of Death (Kay Scarpetta  #7),Patricia Cornwell/C.J. Critt,356,1/2/2007,eng,3.93
60791217,The Patricia Cornwell CD Audio Treasury: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),Patricia Cornwell/Kate Burton,0,7/26/2005,eng,4.16
425214761,At Risk (Winston Garano  #1),Patricia Cornwell,289,4/3/2007,en-US,3.41
074325581X,The Scarpetta Collection: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),Patricia Cornwell,672,11/11/2003,eng,4.16
034548701X,In the Dark of the Night,John Saul,324,7/18/2006,eng,3.88
345467329,Perfect Nightmare,John Saul,384,4/25/2006,eng,3.89
743470796,  said the shotgun to the head.,Saul Williams,192,9/1/2003,en-US,4.22
3865211399,Early Color,Saul Leiter/Martin Harrison,156,1/15/2006,eng,4.73
142437298,Herzog,Saul Bellow/Philip Roth,371,2/25/2003,eng,3.78
449006530,Midnight Voices,John Saul/Joe Blades,384,3/4/2003,eng,3.75
345490649,The Manhattan Hunt Club,John Saul,384,3/28/2006,eng,3.98
553560271,Shadows,John Saul,393,5/1/1993,eng,3.93
449002411,The Presence,John Saul,432,4/29/1998,eng,3.76
553284118,Creature,John Saul,416,1/1/1997,eng,3.84
449227944,Asylum (Blackstone Chronicles  #6),John Saul,97,6/3/1997,eng,4.1
044018293X,Suffer the Children,John Saul,378,7/1/1989,en-US,3.91
446610224,The Big Bad Wolf  (Alex Cross  #9),James Patterson/مریم کاظمی‌تبار,400,10/1/2004,eng,3.99
505521792,Big Bad Wolf,Linda Jones,359,2/27/1997,eng,3.8
307345971,Why Do Men Fall Asleep After Sex? More Questions You'd Only Ask a Doctor After Your Third Whiskey Sour,Mark Leyner/Billy Goldberg,263,8/1/2006,eng,3.55
080213825X,Four Blondes,Candace Bushnell,256,6/8/2001,eng,2.82
786887079,Lipstick Jungle,Candace Bushnell,496,8/8/2006,eng,3.41
786893966,Lipstick Jungle,Candace Bushnell,532,4/1/2007,eng,3.41
1402718616,The Easy Way to Stop Smoking: Join the Millions Who Have Become Nonsmokers Using the Easyway Method,Allen Carr,224,9/23/2004,eng,4.3
671631985,Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann/Phyllis Haddox/Elaine Bruner,395,6/15/1986,en-US,4.17
1401302424,It's Not Easy Being Green: And Other Things to Consider,Jim Henson/Cheryl Henson,197,9/14/2005,eng,4.2
1416510877,Playing Easy to Get (B.A.D. Agency #1.5; Vikings Underground #3; Immortals After Dark #1),Sherrilyn Kenyon/Jaid Black/Kresley Cole,352,2/7/2006,eng,4.13
143037234,The Big Over Easy (Nursery Crime  #1),Jasper Fforde,383,7/25/2006,eng,3.94
62510266,The Enneagram Made Easy: Discover the 9 Types of People,Renee Baron/Elizabeth Wagele,161,3/11/1994,eng,3.82
158685772X,It's Easy Being Green: A Handbook for Earth-Friendly Living,Crissy Trask/Mike Clelland,168,1/23/2006,eng,3.55
452284481,Le Divorce,Diane Johnson,320,7/1/2003,eng,2.88
6281141,Divine Conspiracy: Rediscovering Our Hidden Life in God,Dallas Willard,384,10/5/1998,en-US,4.22
451208633,The Divine Comedy,Dante Alighieri/John Ciardi,895,5/27/2003,eng,4.07
679433139,The Divine Comedy,Dante Alighieri/Allen Mandelbaum/Eugenio Montale,798,8/1/1995,eng,4.07
141430935X,Divine,Karen Kingsbury,355,5/17/2007,eng,4.28
141009055,When the Emperor Was Divine,Julie Otsuka,160,1/12/2004,en-US,3.73
786932724,Complete Divine (Dungeons & Dragons Edition 3.5),David Noonan,191,5/1/2004,eng,3.64
883682796,A Divine Revelation of Hell,Mary K. Baxter/T.L. Lowery,208,1/1/1993,eng,4.18
141311401,Boy: Tales of Childhood (Roald Dahl's Autobiography  #1),Roald Dahl/Quentin Blake,176,4/5/2001,eng,4.1
142302457,The Enormous Crocodile,Roald Dahl/Quentin Blake,32,3/24/2003,eng,3.78
141311290,The Magic Finger,Roald Dahl/Quentin Blake,67,4/5/2001,eng,3.68
037581423X,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,240,9/11/2001,eng,4.14
1593074964,The Gremlins,Roald Dahl/Artists and Writers Guild/Walt Disney Company/Leonard Maltin,56,9/26/2006,eng,3.44
141311428,Going Solo (Roald Dahl's Autobiography  #2),Roald Dahl/Quentin Blake,209,4/5/2001,eng,4.08
882896458,Gumbo Ya-Ya: A Collection of Louisiana Folk Tales,Lyle Saxon/Edward Dreyer/Robert Tallant,640,5/31/1987,eng,4.04
375814248,James and the Giant Peach,Roald Dahl/Quentin Blake,146,9/10/2002,eng,4.01
375814256,Danny the Champion of the World,Roald Dahl/Quentin Blake,224,2/12/2002,eng,4.09
140055770,My Uncle Oswald,Roald Dahl,208,5/1/1986,eng,3.89
375822070,Fantastic Mr. Fox,Roald Dahl/Quentin Blake,96,6/11/2002,eng,4.05
140568190,The Giraffe and the Pelly and Me,Roald Dahl/Quentin Blake,32,11/29/2001,eng,3.82
1577314808,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,229,8/19/2004,eng,4.13
1587671565,Wild Things: Four Tales,Douglas Clegg,97,10/1/2006,eng,3.58
074344017X,Wild Things (Prowlers Book 1),Christopher Golden,311,4/7/2003,eng,4.03
316925284,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,353,2/2/1998,eng,4.25
316010766,Oblivion,David Foster Wallace,329,8/30/2005,eng,4.07
316156116,Consider the Lobster and Other Essays,David Foster Wallace,343,12/13/2005,eng,4.23
034911188X,Brief Interviews with Hideous Men,David Foster Wallace,273,4/1/2000,eng,3.86
1580402518,Diabetes Meal Planning Made Easy,Hope S. Warshaw/Warshaw Hope,301,10/15/2006,eng,3.42
71428488,Easy French Reader,R. de Roussy de Sales,228,9/17/2003,eng,3.85
764119729,Algebra the Easy Way,Douglas Downing,392,1/1/2003,eng,4.06
684857081,Easy Riders  Raging Bulls,Peter Biskind,512,4/4/1999,eng,4.12
340822783,Cloud Atlas,David Mitchell,529,2/21/2005,eng,4.02
385336950,The Cloud Atlas,Liam Callanan,368,8/1/2004,en-GB,3.38
345476638,Easy Labor: Every Woman's Guide to Choosing Less Pain and More Joy During Childbirth,William Camann/Kathryn    Alexander,311,1/31/2006,eng,3.45
452276969,The McDougall Quick and Easy Cookbook,John A. McDougall/Mary McDougall,336,4/1/1999,eng,4.01
764134280,American Sign Language The Easy Way,David A. Stewart/Jessalyn Little/Elizabeth     Stewart,480,11/1/2006,eng,3.75
375724508,Ghostwritten,David Mitchell,426,10/9/2001,eng,4.05
748702555,Romeo & Juliet,William Shakespeare/Alan Durband,288,1/1/1993,eng,3.74
743484185,Easy Prey (Lucas Davenport  #11),John Sandford,480,6/1/2004,eng,4.08
451212924,Mayada  Daughter of Iraq: One Woman's Survival Under Saddam Hussein,Jean Sasson,368,9/7/2004,eng,4
312966091,Three to Get Deadly (Stephanie Plum  #3),Janet Evanovich,321,7/15/1998,eng,4.15
60598875,Smitten (Elsie Hawkins #2),Janet Evanovich,234,7/25/2006,eng,3.67
60598824,Manhunt,Janet Evanovich,219,11/29/2005,eng,3.7
743216393,Three Plums In One (Stephanie Plum  #1-3),Janet Evanovich,1016,4/26/2001,eng,4.31
312976275,Hot Six (Stephanie Plum  #6),Janet Evanovich,336,6/15/2001,eng,4.19
385494246,Amsterdam,Ian McEwan,208,11/2/1999,eng,3.43
1400016088,Fodor's Amsterdam (Fodor's Gold Guides),Fodor's Travel Publications Inc./Sarah Gold,288,4/6/2004,eng,3.43
385497520,The Child in Time,Ian McEwan,263,11/2/1999,eng,3.58
